volume (ml),Absorbance (mAU),volume (mL),Buffer B Concentration (%)
1.281608,64.096832,12.813496,0
1.28526,63.869904,12.85,0
1.288911,63.616032,12.886506,0
1.292562,63.356354,12.923012,0
1.296214,63.064499,12.959517,0
1.299865,62.777351,12.996023,0
1.303516,62.50695,13.032529,0
1.307168,62.244537,13.069035,0
1.310819,61.99424,13.10554,0
1.31447,61.745491,13.142046,0
1.318122,61.497997,13.178552,0
1.321773,61.2561,13.215057,0
1.325424,61.016273,13.251563,0
1.329075,60.748245,13.288069,0
1.332727,60.479027,13.324574,0
1.336378,60.229004,13.36108,0
1.340029,59.988281,13.397586,0
1.343681,59.773975,13.434092,0
1.347332,59.568073,13.470597,0
1.350983,59.37286,13.507103,0
1.354635,59.183632,13.543609,0
1.358286,58.998131,13.580114,0
1.361937,58.818626,13.61662,0
1.365589,58.640682,13.653126,0
1.36924,58.452091,13.689631,0
1.372891,58.26852,13.726137,0
1.376542,58.119354,13.762643,0
1.380194,57.969013,13.799149,0
1.383845,57.81609,13.835654,0
1.387496,57.634506,13.87216,0
1.391148,57.423061,13.908666,0
1.394799,57.184372,13.945171,0
1.39845,56.932102,13.981677,0
1.402102,56.686729,14.018183,0
1.405753,56.443207,14.054688,0
1.409404,56.234821,14.091194,0
1.413056,56.034081,14.1277,0
1.416707,55.866154,14.164206,0
1.420358,55.695866,14.200711,0
1.424009,55.521202,14.237217,0
1.427661,55.349682,14.273723,0
1.431312,55.181053,14.310228,0
1.434963,54.981564,14.346734,0
1.438615,54.768757,14.38324,0
1.442266,54.59182,14.419745,0
1.445917,54.42215,14.456251,0
1.449569,54.290413,14.492757,0
1.45322,54.157944,14.529263,0
1.456871,54.022991,14.565768,0
1.460523,53.900299,14.602274,0
1.464174,53.795422,14.63878,0
1.467825,53.700153,14.675285,0
1.471476,53.611675,14.711791,0
1.475128,53.52898,14.748297,0
1.478779,53.448238,14.784802,0
1.48243,53.436501,14.821308,0
1.486082,53.419613,14.857814,0
1.489733,53.31171,14.89432,0
1.493384,53.199474,14.930825,0
1.497036,53.076172,14.967331,0
1.500687,52.935371,15.003837,0
1.504338,52.773739,15.040342,0
1.50799,52.616081,15.076848,0
1.511641,52.460667,15.113354,0
1.515292,52.326332,15.149859,0
1.518943,52.196747,15.186365,0
1.522595,52.106342,15.22287,0
1.526246,52.011734,15.259376,0
1.529897,51.89275,15.295881,0
1.533549,51.782089,15.332387,0
1.5372,51.688671,15.368893,0
1.540851,51.564793,15.405398,0
1.544502,51.410698,15.441904,0
1.548154,51.299107,15.47841,0
1.551805,51.207699,15.514915,0
1.555457,51.139191,15.551421,0
1.559108,51.074615,15.587927,0
1.562759,51.013882,15.624433,0
1.56641,50.948879,15.660938,0
1.570062,50.868267,15.697444,0
1.573713,50.78635,15.73395,0
1.577364,50.702404,15.770455,0
1.581016,50.622833,15.806961,0
1.584667,50.546795,15.843467,0
1.588318,50.553776,15.879972,0
1.591969,50.590847,15.916478,0
1.595621,50.545918,15.952984,0
1.599272,50.489544,15.98949,0
1.602923,50.397499,16.025995,0
1.606575,50.29546,16.062502,0
1.610226,50.165264,16.099007,0
1.613877,50.034313,16.135513,0
1.617529,49.902416,16.172018,0
1.62118,49.796978,16.208525,0
1.624831,49.707977,16.245029,0
1.628483,49.63279,16.281536,0
1.632134,49.561127,16.318041,0
1.635785,49.471512,16.354546,0
1.639436,49.382473,16.391052,0
